-am	muj
ra	vyjadreni akuzativu
radiator	radiator, chladic
radiyator	radiator, chladic
radiyo	radio
raftan	jit
rah	cesta
rah boro	chod
rah raftan	chodit
rahbar	vudce
raje'be	o
raket	raketa
ran	stehno
ranande	ridic
ranandegi kardan	ridit (auto)
randan	jet
rang	barva
rang e raqiq	odstin
rangbar	barevny preliv
rangi	barevny
rangin	barevny
ranj	bolest
rasidan	dozravat
rast	pravy
rastegari	spasa
rasti	pravda
rasturan	restaurace
ravan	duch, duse
raxtsuyxane	pradelna
razak	chmel
rekab	pedal (u bicyklu)
reservasiyon	rezervace, reserve
rezerv kardan	rezervovat
rezerv sode	rezervovany, vyhrazeny
ris	vousy
ris tarasidan	holit se
risekan kardan	rozdrtit, rozprasit, porazit
ristaras	holici strojek (elektr.)
rivas	reven, rebarbora
riyal	rijal
robh	ctvrt
romatism	revmatismus
rowqan	olej
rowqan e karcak	ricinovy olej
rowqan e motor	motorovy olej
rowqan e zeytun	olivovy olej
rowqani	olejovy
rowsan	svetla
rowsani	svetly
ruban	stuha
ruberu	protejsi
ruberuye	naproti
rude	strevo
rudxane	reka
ruh	duch
ruhaniyat	cirkev
rusari	satek
Rusiyye	Rusko
ruy	zinek
ruye	nad
ruyi	pres
ruz	den
ruz e kar	pracovni den
ruz e tatil	den pracovniho klidu
ruzane	denni
ruzname	noviny
ruznameforusi	novinovy stanek
ruz	ruz, rtenka
saat	hodina, hodinky
saat e divari	hodiny
saat e elektriki	elektricke hodiny
saat e jibi	kapesni hodinky
saat e moci	naramkove hodinky
saat zangdar	budik
saatsazi	hodinarstvi
sabad	kos
sabok	lehky
sabr kardan	cekat (na)
sabun	mydlo
sabz	zeleny
sabzi	zelenina
sad	sto
sade	snadny, jednoduchy, prosty, lehky
sadom	setina
safi	kavovar
sag	pes
sagak e kamarband	prezka, spona
sahel	breh, plaz, pobrezi
sahra	poust
saku	nastupiste
sal	rok
Sal e Now	Novy rok
salad	salat
salam	ahoj
salib	kriz
saliyane	rocne
salname	rocenka, sbornik, almanach
salon	salon, sal
salon e zibayi	salon krasy, kosmeticky salon
sam	jed
sandal	sandal
sandali	zidle
sandali ye asayes	lehatko
sandoq	bedna
sandvic	sendvic
sangin	tezky
sangsar kardan	kamenovat
saniye	vterina, sekunda
sanjaq	spendlik
saq	noha
sar	hlava
Sara	Sara
saratan	rakovina
sarbaz	vojak, kluk (karty)
sard	chladny, studeny
sardin	sardinka
sargami	zabava, kratochvile
sarih	rychly
sarmaxordegi	nachlazeni
sarrafi	smenarna
sarsane	svrchnik
sartasar	pres, skrz, napric
sarv	cypris
satan	saten
saxtan	budovat
saye	stin
saye ye cesm	ocni stiny
sayeban	slunecnik
se	tri
se bar	trikrat
sebil	knir
seda	zvuk
sedr	cedr
sefares dadan	objednat, objednavat
sefid	bily
sefr	nula
senn	vek
sepas	dik
sepas gozaram	dekuji
sepas gozardan	dekovat
sepaye	stativ
Septambr	zari
seramik	keramika
seramiki	keramicky
serke	ocet
servis	servis, sluzba
Sesanbe	utery
setare	hvezda
setaresenas	hvezdar
sevom	treti
sez	nebezpeci
si	tricet
sib	jablko
sib zamini	brambor
sigar	cigareta
silandr	valec (aut.)
sim	drat
siman	cement
sine	hrud, hrudnik, prsa
sinema	kino
sinema	kino
sinepahlu	zapal plic
sir	cesnek
sirabi	drstky
sisad	tri sta
siyah	cerny
siyahrag	zila
siyahsorfe	cerny kasel
sizdah	trinact
sobh	rano
sobhane	snidane
soltan	sultan, kral
som	tretina
sombade ye naxon	pilnicek na nehty
sorb	cin
sorud	zpev, hymna
sorx	rudy
sorxak	spalnicky
sos	omacka
sosis	klobasa, salam, uzenka, vurt
sotun e faqarat	pater, hrbet
supermarket	samoobsluha, supermarket
surat	tvar, oblicej
surati	ruzova
suye	do, k
suzan	jehla
suzan e keravat	jehlice do kravaty
s (horuf)	s (hlaska)
sab	noc, vecer
sab be xeyr	dobrou noc
saffaf	prusvitny, pruhledny
sagerd	hotelovy zrizenec, poslicek
sah	kral, cisar
sahansah	kral kralu
sahansahi	kralovsky
sahbalut	kastan
sahmahi	sled
sahr	mesto, velkomesto
sahrag	tepna, arterie
sahrak	mesto
sahrbani	mestska policie
sahrdari	radnice
Sahrivar	23. srpen - 22. zari
sahrund	obcan
sahtut	ostruzina
sahzade	princ
sal	sal, sala
sal e gardan	sala
salvar	kalhoty
salvar e jin	dziny
sam	vecere
sam'	svicka, svice
samele	vcetne
sampu	sampon
samsir	mec
Sanbe	sobota
sane	hreben, rameno
sanzdah	sestnact
sarir	zly
sast	sedesat, palec
satranj	sachy
saxs	osoba
saxsi	osobni, osobity
sayad	snad, mozna, asi
sekam	bricho
sekamdard	boleni bricha
sekastan	lamat
sekkar	cukr
sekl	podoba, tvar
senasname	obcansky prukaz
senel	prehoz, pelerina
senidan	slyset
serkat	podnik, spolecnost (obchodni)
ses	sest
sesom	sestina, sesty
sessad	sest set
setab	spech
seytan	satan
siling	silink
sir	mleko, lev
sir kakao	horka cokolada
sirini	sladkost, sladke
siriniforusi	cukrarna
sise	sklo
siyar	brazda
sodan	stat se, stavat se
sokolat	cokolada
sokolati	cokoladovy
soluq	rusny
soma	vy
somal	sever
somara	vas
somare	cislo
somare ye xane	cislo domu
somordan	pocitat
sort	sortky
sostan	umyvat
sos	plice
sotor	velbloud
sowhar	manzel
sur	slany
ta	az (do)
tab	horecka
tab e nowbe	senna ryma
tab e sadid	senna ryma
tabaqe	poschodi, patro
tabar	sekera
tabe	panev
tabestan	leto
taft	lak na vlasy
taj	koruna
takestan	vinice, vinohrad
taksi	taxi
takxal	eso
talaffoz	vyslovnost
talx	horky
tamam	cely, vse
tambakuforusi	trafika, tabak (prodejna)
tambr e post	znamka
tamir	oprava
tamirgah	opravna (dilna)
tandissazi	socharstvi
tang	uzky
tanha	jen, pouze, jenom
tappe	kopec
taqdim dastan	predkladat
tarasidan	holit
tarazu	vaha
tare (ye farangi)	porek, por
tarik	temny, tmavy
tarix	dejepis, historie, dejiny
tarjih dadan	uprednostnovat, preferovat
tarjome	preklad
tars	strach
tarsidan	bat se
tarsu	bojacny
tassof	litost
tasakor kardan	dekovat
tasannoj	krec
tavajjoh	vyhlaska, upozorneni, oznameni
tavaqqof	zastaveni
tavaqqof mamnu	zakaz zastaveni
tavaqqofgah	stanoviste
tavvalod	narozeniny
taxir	zpozdeni
taxt	trun
te	dno
teatr	divadlo
Tehran	Teheran
teknoloziki	technologicky
telefon	telefon
telefon kardan	telefonovat
telefonci	operator
televiziyon	televize, televizor
temesk	malina
tenis	tenis
teramva	tramvaj
teras	terasa
terlin	terylen
termostat	termostat
tesaker kardan	dekovat
tesne	ziznivy
tiq	ziletka
tir	sip
tire	tmavy
tirerang	tmava
tise	sekera
tix	britva
tiz	ostry
to	ty
tolombe	hustilka
ton	tunak
tond	prudky, ostry, rychly
tong	karafa
tora	tebe, te
tormoz	brzda
torob	redkev
torobce	redkvicka
tors	kysely
torsak	stovik
torsi	calamada
tostkon	toastovac [toustovac]
tosak	matrace
toxm	vejce
toxm e mahi	jikry
transformator	transformator, menic
tualet	zachod, WC, toaleta
tuid	tvid
tup	mic
tur	sit
tut	moruse
tut e farangi	jahoda
tuti	papousek
u	on, ona
ud	loutna
ura	ho, jej
ure	moc
Ut	srpen
va	a, i
va'de	slib
vagon	vagon, vuz
vagon e bari	postovni vuz
vagon e qazaxori	jidelni vuz
vali	ale
vaqf kardan	odkazovat
vaqt	hodina, cas
varaq	list, arch
varaq e bazi	hraci karta
varzes	sport
varzesgah	stadion
vatan	vlast
vazeline	vazelina
vazir	kralovna
vazn	vaha
vaz	naproti
vaze	slovo
velarm	vlazny
velayat	mistodrzitelstvi
ventil	ventil
voltaz	napeti
vorud	prichod, prijezd
x (horuf)	ch (hlaska)
xabidan	spat
xahar	sestra
xahar e sowhar	svagrova (sestra muze), svagrova
xahar e zan	svagrova (sestra zeny), svagrova
xahes mikonam	prosim, neni zac, rado se stalo
xakestari	sedy
xale	teta z matciny strany
xali	prazdny, volny
xalij	zaliv
xame	smetana
xame ye zade	slehacka
xamir e dandan	zubni pasta
xamus	z, od, pryc
xandan	cist
xandidan	smat se
xane	dum
xanevade	rodina
xanom	pani
xardal	horcice
xargus	kralik
xargus e sahrayi	zajic
xarid	nakup
xaridan	koupit
xarmus	potkan
xarobarforusi	smisene zbozi (prodejna)
xastan	chtit
xastegi ye faravan	unava, vycerpanost
xasm	zlost
xasmgin	rozzlobeny
xatar	nebezpeci
xatar e marg	nebezpeci smrti
xatarnak	nebezpecny
xatt	cara, linka, pismo, skript
xatt e cesm	ocni linky
xatt e latin	latinka
xavar	vychod
xaviyar	kaviar
xedmatkar	pokojska
xers	medved
xeyli	velmi, mnoho, velice, hodne
xeyr	ne
xis	mokro
xiyar	okurka
xiyar e sur	okurka (mala, nakladana)
Xoda	Buh
Xoda negahdar	sbohem, na shledanou, Buh te provazej
Xodavand	Pan, Hospodin, Panovnik
xodkar	pero
xodnevis	pero
xodrow	auto
xodtaras	ziletka, cepelka (holici)
xodtaras e barqi	elektricky holici strojek
xolase	vynatek
xorak	pokrm
Xordad	22. kveten - 21. cerven
xordan	jist
xorde	maly
xordtar	mensi
xordtarin	nejmensi
xores	dusene maso se zeleninou, ragu
xorma	datle
xorsid	slunce
xorus	kohout
xorus e jangali	sluka lesni
xos	potesitelny, prijemny, mily
xos amadid	vitejte
xosg	suchy
xosksuyi	cistirna
xub	dobry, dobro
xubi	dobro, laskavost, dobrota
xun	krev
xyaban	ulice
y (horuf)	j (hlaska)
ya	nebo
yad	pamet
yahudi	zid
yal	hriva
yaqe	limec
yaqut	rubin
yaqut e kabud	safir
yaqut e romani	ametyst
yaqut e zard	topas, topaz
yari	pomoc
yas	serik
yasm	nefrit
yavas	pomalu, pomaly
yax	led
yazdah	jedenact
ye	vyjadreni genitivu po samohlasce
yek	jeden
yek bar	jednou, jedenkrat
Yeksanbe	nedele
yod	jod
yon	ion
yuq	jho
zaban	jazyk
zabar	nad
zabt e sowt	magnetofon (kazet.)
zadan	zbit
zahmat	drina
zahmat dadan	obtezovat
zahr	jed
zaman	cas, doba
zamin	zeme
zan	zena
zan	buk
zanane	zensky
zanbur	vosa
zang	zvon
zang zadan	zvonit
zanjir	retez
zanjiri	retezovy
zanu	koleno
zaqi	kos
zar	zlato
zard	zluty
zard e kamrang	zlutohneda, plava
zardak	karotka
zardalu	merunka
zarf	nadobi
Zari	Zari
zarif	jemny
zarrin	zlata
Zartost	Zarathustra, Zoroaster
zaxm e sekam	vred (zalud.)
zayes	narozeni
zayesgah	porodnice
zedd e bu	deodorant, dezodorant
zedd e ofuni	antisepticky
zedde	proti
zegil	bradavice
zeh	struna
zemestan	zima
zendegi	zivot
zest	skaredy
zeytun	oliva
ziba	krasny, hezky, nadherny, elegantni
zin	sedlo
zip	zip, zdrhovadlo
zir	pod
zira	protoze, nebot
zire	dole, dolu, nize, pod
zirin	zpod
ziyad	hodne, mnoho
ziyan	skoda
zomorrod	smaragd
zomorrodin	smaragd
zoraq	lod
zorrat	kukurice
zud	brzy
zudtar	drive
zudtarin	nejdrive
z (horuf)	z (hlaska)
zambon	sunka
Zanviye	leden
zarf	hluboky
zarfa	hloubka
zelatin	zelatina
zile	vesta, natelnik, tilko
zoker	zolik
Zuan	cerven
Zuye	cervenec
